class,resnet_between_folds_std,vgg_between_folds_std
Pepper__bell___Bacterial_spot,0.009,0.03
Pepper__bell___healthy,0.015,0.039
Potato___Early_blight,0.017,0.02
Potato___Late_blight,0.026,0.015
Potato___healthy,0.033,0.051
Tomato_Bacterial_spot,0.019,0.025
Tomato_Early_blight,0.016,0.016
Tomato_Late_blight,0.012,0.025
Tomato_Leaf_Mold,0.011,0.005
Tomato_Septoria_leaf_spot,0.025,0.061
Tomato_Spider_mites_Two_spotted_spider_mite,0.02,0.044
Tomato__Target_Spot,0.021,0.038
Tomato__Tomato_YellowLeaf__Curl_Virus,0.017,0.018
Tomato__Tomato_mosaic_virus,0.042,0.064
Tomato_healthy,0.012,0.043
