class,bar_resnet_mean,bar_resnet_std,bar_vgg_mean,bar_vgg_std,n,bg_frac_mean,bg_frac_std,n_bg,excess_resnet,excess_vgg
Pepper__bell___Bacterial_spot,0.257,0.093,0.267,0.096,997,0.511,0.079,997,-0.254,-0.244
Pepper__bell___healthy,0.271,0.127,0.299,0.136,1478,0.52,0.09,1478,-0.249,-0.221
Potato___Early_blight,0.218,0.126,0.208,0.13,1000,0.432,0.095,1000,-0.214,-0.224
Potato___Late_blight,0.235,0.094,0.112,0.097,1000,0.531,0.07,1000,-0.296,-0.419
Potato___healthy,0.173,0.071,0.205,0.086,152,0.509,0.055,152,-0.336,-0.304
Tomato_Bacterial_spot,0.357,0.103,0.301,0.128,2127,0.531,0.077,2127,-0.174,-0.23
Tomato_Early_blight,0.376,0.141,0.38,0.147,1000,0.572,0.108,1000,-0.196,-0.192
Tomato_Late_blight,0.405,0.153,0.355,0.14,1909,0.647,0.146,1909,-0.242,-0.292
Tomato_Leaf_Mold,0.406,0.166,0.318,0.167,952,0.597,0.214,952,-0.191,-0.279
Tomato_Septoria_leaf_spot,0.405,0.126,0.432,0.131,1771,0.611,0.107,1771,-0.206,-0.179
Tomato_Spider_mites_Two_spotted_spider_mite,0.463,0.105,0.307,0.127,1676,0.647,0.074,1676,-0.184,-0.34
Tomato__Target_Spot,0.428,0.12,0.318,0.147,1404,0.593,0.084,1404,-0.165,-0.275
Tomato__Tomato_YellowLeaf__Curl_Virus,0.304,0.1,0.171,0.072,3208,0.603,0.073,3208,-0.299,-0.432
Tomato__Tomato_mosaic_virus,0.547,0.102,0.61,0.082,373,0.745,0.044,373,-0.198,-0.135
Tomato_healthy,0.562,0.11,0.574,0.119,1591,0.622,0.095,1591,-0.06,-0.048
